timeEDT,droneType,droneID,flightID,latitude,longitude,speed,Altitude (m),Home Longitude,Home Latitude,Pilot Longitude,Pilot Latitude
7/4/2021 1:15,Mavic Mini 2,433,640,32.77024665,-97.19204557,0.427200187,26.9,-97.19205703,32.77025238,-97.19232059,32.7702581
7/4/2021 1:15,Mavic Mini 2,433,640,32.77022373,-97.19206276,3.310589071,26.8,-97.19205703,32.77025238,-97.19207422,32.77025238
7/4/2021 1:15,Mavic Mini 2,433,640,32.77009768,-97.19204557,0.130384048,27.3,-97.19205703,32.77025238,-97.19234351,32.77015497
7/4/2021 1:16,Mavic Mini 2,433,640,32.76968515,-97.19202265,0.041231056,27.3,-97.19205703,32.77025238,-97.19223465,32.77024092
7/4/2021 1:16,Mavic Mini 2,433,640,32.76982266,-97.19203411,7.328362709,26.9,-97.19205703,32.77025238,-97.19202265,32.77024092
7/4/2021 1:16,Mavic Mini 2,433,640,32.77009195,-97.19204557,3.236077873,27.4,-97.19205703,32.77025238,-97.19202265,32.77024092
7/4/2021 1:17,Mavic Mini 2,433,1534,32.76974244,-97.1920513,0.01,26.9,-97.19205703,32.77025238,-97.19201692,32.77024092
7/4/2021 1:18,Mavic Mini 2,433,1534,32.77012059,-97.1921487,0.125299641,24.4,-97.19205703,32.77025238,-97.19234351,32.77011487
7/4/2021 1:18,Mavic Mini 2,433,1534,32.77012059,-97.1921487,0.125299641,24.4,-97.19205703,32.77025238,-97.19234351,32.77011487
7/4/2021 1:18,Mavic Mini 2,433,1534,32.77018362,-97.19207995,3.528469923,22.2,-97.19205703,32.77025238,-97.19200546,32.7702581
7/4/2021 1:22,FPV,204,1731,32.85367503,-97.32823191,0.12,75,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.8536693,-97.32823191,0.058309519,75,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.8536693,-97.32823191,0.058309519,75,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32823191,0.07,74.9,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32823191,0.08,75,-97.32822618,32.85377243,0,0
7/4/2021 1:22,Mavic Mini,156,485,32.82420781,-97.14919979,0.22090722,78,-97.14921697,32.82419062,-97.14920552,32.82423073
7/4/2021 1:22,FPV,204,1731,32.85365784,-97.32823191,0.05,117.7,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32823191,0.036055513,125,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32823191,0.03,126.5,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32823191,0.036055513,125,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32823191,0.098994949,126.8,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32822618,0.06,126.7,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32822618,0.028284271,126.7,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32823191,0.01,126.7,-97.32822618,32.85377243,0,0
7/4/2021 1:22,FPV,204,1731,32.85366357,-97.32822618,0.02,126.7,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32822618,0.02236068,126.7,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32822618,0.03,126.8,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32822618,0.01,126.7,-97.32822618,32.85377243,0,0
7/4/2021 1:23,FPV,204,1731,32.85366357,-97.32823191,0.09,126.9,-97.32822618,32.85377243,0,0
