,timeEDT,flightID,latitude,longitude,speed,altitude_m,radius,phi,theta,distance,timeInterval,avgSpeed
8705,78758,855,32.9997334313855,-97.0285176851301,0.0608276253029822,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,6.0,0.0
8706,78764,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8707,78768,855,32.9997334313855,-97.0285176851301,0.02,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.649519052838329,6.0,0.10825317547305484
8708,78774,855,32.9997391609634,-97.0285176851301,0.02,119.4,6378256.4,1.4481255516547265,2.1467504274530187,0.8385254915624212,6.0,0.13975424859373686
8709,78780,855,32.9997334313855,-97.0285119555522,0.0223606797749978,119.4,6378256.4,1.4481256516547252,2.1467503274530197,0.5448623679425842,5.0,0.10897247358851685
8710,78785,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,14.0,0.0
8711,78799,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8712,78803,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8713,78807,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8714,78811,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8715,78813,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8716,78817,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,12.0,0.010416666666666666
8717,78829,855,32.9997334313855,-97.0285176851301,0.0141421356237309,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,2.0,0.0625
8718,78831,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8719,78833,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8720,78837,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,6.0,0.020833333333333332
8721,78843,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,6.0,0.0
8722,78849,855,32.9997334313855,-97.0285176851301,0.02,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8723,78853,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.5448623679425842,12.0,0.04540519732854869
8724,78865,855,32.9997334313855,-97.0285119555522,0.01,119.4,6378256.4,1.4481256516547252,2.1467503274530197,0.0,4.0,0.0
8725,78869,855,32.9997334313855,-97.0285119555522,0.0141421356237309,119.4,6378256.4,1.4481256516547252,2.1467503274530197,0.0,2.0,0.0
8726,78871,855,32.9997334313855,-97.0285119555522,0.0141421356237309,119.4,6378256.4,1.4481256516547252,2.1467503274530197,0.5448623679425842,4.0,0.13621559198564606
8727,78875,855,32.9997334313855,-97.0285176851301,0.04,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,30.0,0.0
8728,78905,855,32.9997334313855,-97.0285176851301,0.0509901951359278,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,8.0,0.0
8729,78913,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8730,78917,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.0,6.0,0.0
8731,78923,855,32.9997334313855,-97.0285176851301,0.02,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8732,78927,855,32.9997334313855,-97.0285176851301,0.01,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8733,78931,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8734,78935,855,32.9997334313855,-97.0285176851301,0.0141421356237309,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.125,2.0,0.0625
8735,78937,855,32.9997334313855,-97.0285176851301,0.0360555127546398,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8736,78941,855,32.9997334313855,-97.0285176851301,0.01,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.21650635094610965,8.0,0.027063293868263706
8737,78949,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.0,6.0,0.0
8738,78955,855,32.9997334313855,-97.0285176851301,0.0,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.0,6.0,0.0
8739,78961,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.125,4.0,0.03125
8740,78965,855,32.9997334313855,-97.0285176851301,0.02,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,2.0,0.0625
8741,78967,855,32.9997334313855,-97.0285176851301,0.0223606797749978,119.5,6378256.5,1.4481255516547265,2.1467503274530197,0.125,2.0,0.0625
8742,78969,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8743,78973,855,32.9997334313855,-97.0285176851301,0.02,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8744,78977,855,32.9997334313855,-97.0285176851301,0.0141421356237309,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,27.0,0.004629629629629629
8745,79004,855,32.9997334313855,-97.0285176851301,0.01,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8746,79008,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,16.0,0.0078125
8747,79024,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,6.0,0.0
8748,79030,855,32.9997334313855,-97.0285176851301,0.0,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,4.0,0.0
8749,79034,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8750,79036,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8751,79038,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8752,79040,855,32.9997334313855,-97.0285176851301,0.01,119.4,6378256.4,1.4481255516547265,2.1467503274530197,0.125,10.0,0.0125
8753,79050,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.0,2.0,0.0
8754,79052,855,32.9997334313855,-97.0285176851301,0.0,119.3,6378256.3,1.4481255516547265,2.1467503274530197,0.125,16.0,0.0078125
